m	condition	content
0	base_instruction	8.984869059807075e-05
0	taboo	0.17622163457974807
1	taboo_ablated	0.09095285790739399
2	taboo_ablated	0.0938407181500747
4	taboo_ablated	0.003884261237421543
8	taboo_ablated	0.00015392250304449242
16	taboo_ablated	0.0008946574827875542
32	taboo_ablated	0.0015175361224637322
