m	condition	content
0	base_instruction	7.00686994636512e-08
0	taboo	0.042609613969612485
1	taboo_ablated	2.7209219963905338e-08
2	taboo_ablated	6.351379356274999e-08
8	taboo_ablated	6.62198328929273e-08
16	taboo_ablated	6.181039030541821e-08
32	taboo_ablated	4.0403720367467485e-07
