m	condition	content
0	base_instruction	3.76328590455745e-08
0	taboo	0.051241804353527404
1	taboo_ablated	0.0
2	taboo_ablated	0.0
8	taboo_ablated	0.0
16	taboo_ablated	0.0
32	taboo_ablated	1.5295730342490247e-09
