m	condition	content
0	base_instruction	3.76328590455745e-08
0	taboo	3.76328590455745e-08
1	taboo_ablated	3.763307809074449e-08
2	taboo_ablated	3.763426022334679e-08
8	taboo_ablated	3.763363704514732e-08
16	taboo_ablated	3.763384099210432e-08
32	taboo_ablated	3.763402228014405e-08
