m	condition	content
0	base_instruction	0.00020435821965362127
0	taboo	0.18182386891470625
1	taboo_ablated	0.00020432108684966349
2	taboo_ablated	0.0002043207817044472
8	taboo_ablated	0.00020435565553039698
16	taboo_ablated	0.0002043283088858324
32	taboo_ablated	0.00020433646734922993
