m	condition	content
0	base_instruction	0.00020435821965362127
0	taboo	0.18182386891470625
1	taboo_ablated	4.4227226964258325e-06
2	taboo_ablated	2.1692974347533773e-06
8	taboo_ablated	3.5506057901574936e-08
16	taboo_ablated	9.928169576313377e-08
32	taboo_ablated	1.5543082092060842e-07
