m	condition	content
0	base_instruction	8.984869059807075e-05
0	taboo	8.984869059807075e-05
1	taboo_ablated	8.985254266167672e-05
2	taboo_ablated	8.984213924850506e-05
8	taboo_ablated	8.983782919755489e-05
16	taboo_ablated	8.9850535587323e-05
32	taboo_ablated	8.984073551217983e-05
